"year","make","model","engine.fuel.type","engine.hp","engine.cylinders","transmission.type","driven_wheels","number.of.doors","market.category","vehicle.size","vehicle.style","popularity","msrp"
2017,"Lexus","RC 350","premium unleaded (required)",306,"6","AUTOMATIC","all wheel drive",2,"Luxury,Performance","Midsize","Coupe",454,45175
2012,"Mazda","CX-7","premium unleaded (recommended)",244,"4","AUTOMATIC","front wheel drive",4,"Crossover","Midsize","4dr SUV",586,26455
2017,"Subaru","BRZ","premium unleaded (required)",200,"4","AUTOMATIC","rear wheel drive",2,"Performance","Compact","Coupe",640,28745
1994,"Volkswagen","Corrado","regular unleaded",178,"6","MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",873,2000
2016,"GMC","Savana Cargo","flex-fuel (unleaded/E85)",285,"8","AUTOMATIC","rear wheel drive",3,"Flex Fuel","Large","Cargo Van",549,32455
2010,"Lexus","SC 430","premium unleaded (required)",288,"8","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",454,68405
1992,"Lincoln","Mark VII","regular unleaded",225,"8","AUTOMATIC","rear wheel drive",2,"Luxury","Large","Coupe",61,2000
2012,"Bentley","Continental Supersports Convertible","flex-fuel (premium unleaded required/E85)",621,"12","AUTOMATIC","all wheel drive",2,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance","Midsize","Convertible",520,280400
2017,"Nissan","NV200","regular unleaded",131,"4","AUTOMATIC","front wheel drive",4,"N/A","Compact","Cargo Minivan",2009,22230
2016,"Dodge","Dart","regular unleaded",160,"4","MANUAL","front wheel drive",4,"N/A","Midsize","Sedan",1851,19495
2017,"Dodge","Grand Caravan","regular unleaded",283,"6","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",1851,29395
2016,"Aston Martin","V12 Vantage S","premium unleaded (required)",565,"12","AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Convertible",259,198195
1998,"Toyota","Supra","regular unleaded",225,"6","MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",2031,20596
2011,"Infiniti","QX56","premium unleaded (recommended)",400,"8","AUTOMATIC","four wheel drive",4,"Luxury","Large","4dr SUV",190,61800
2016,"Bentley","Mulsanne","premium unleaded (required)",505,"8","AUTOMATIC","rear wheel drive",4,"Exotic,Luxury,High-Performance","Large","Sedan",520,303700
2017,"Buick","Verano","regular unleaded",180,"4","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",155,21065
2006,"Subaru","Baja","premium unleaded (required)",210,"4","MANUAL","all wheel drive",4,"Crossover","Compact","Crew Cab Pickup",640,24595
2011,"Mazda","RX-8","premium unleaded (required)",212,"3","AUTOMATIC","rear wheel drive",4,"Performance","Compact","Coupe",586,32960
1990,"Chevrolet","Celebrity","regular unleaded",135,"6","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Wagon",1385,2000
1994,"Oldsmobile","Cutlass Ciera","regular unleaded",120,"4","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",26,2000
2017,"Audi","RS 7","premium unleaded (required)",560,"8","AUTOMATIC","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Large","Sedan",3105,110700
2016,"Porsche","Panamera","premium unleaded (required)",520,"8","AUTOMATED_MANUAL","all wheel drive",4,"Luxury,High-Performance","Large","Sedan",1715,161100
1995,"Volvo","940","regular unleaded",162,"4","AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",870,2000
2017,"Nissan","Juke","premium unleaded (required)",215,"4","MANUAL","front wheel drive",4,"Crossover,Hatchback,Factory Tuner,Performance","Compact","4dr Hatchback",2009,28020
1996,"Dodge","Stealth","regular unleaded",222,"6","MANUAL","front wheel drive",2,"Performance","Compact","Coupe",1851,3044
1992,"Dodge","Monaco","regular unleaded",150,"6","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",1851,2000
2008,"Hyundai","Tiburon","regular unleaded",138,"4","AUTOMATIC","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",1439,18370
2016,"Hyundai","Equus","premium unleaded (recommended)",429,"8","AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Large","Sedan",1439,68750
2013,"Infiniti","G Sedan","premium unleaded (required)",328,"6","MANUAL","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",190,37150
2015,"Mercedes-Benz","SLS AMG GT Final Edition","premium unleaded (required)",583,"8","AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,Factory Tuner,Luxury,High-Performance","Compact","Coupe",617,221580
2017,"Lexus","RC 200t","premium unleaded (required)",241,"4","AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","Coupe",454,40155
2017,"Chrysler","Pacifica","regular unleaded",287,"6","AUTOMATIC","front wheel drive",4,"Performance","Midsize","Passenger Minivan",1013,42495
2017,"Ford","C-Max Hybrid","regular unleaded",188,"4","AUTOMATIC","front wheel drive",4,"Hybrid","Compact","Wagon",5657,24120
2017,"BMW","6 Series Gran Coupe","premium unleaded (required)",445,"8","AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Large","Sedan",3916,91200
2017,"Maserati","Quattroporte","premium unleaded (required)",404,"6","AUTOMATIC","all wheel drive",4,"Exotic,Luxury,High-Performance","Large","Sedan",238,116000
2017,"Volvo","XC90","premium unleaded (recommended)",250,"4","AUTOMATIC","front wheel drive",4,"Crossover,Luxury","Large","4dr SUV",870,51150
2001,"Mazda","B-Series","regular unleaded",150,"6","MANUAL","four wheel drive",2,"N/A","Compact","Extended Cab Pickup",586,20030
2015,"Nissan","Xterra","regular unleaded",261,"6","MANUAL","four wheel drive",4,"N/A","Midsize","4dr SUV",2009,26670
2017,"Ford","Flex","premium unleaded (recommended)",365,"6","AUTOMATIC","all wheel drive",4,"Crossover","Large","Wagon",5657,43030
2017,"Audi","Q7","premium unleaded (required)",333,"6","AUTOMATIC","all wheel drive",4,"Crossover,Luxury,Performance","Large","4dr SUV",3105,58800
2009,"Land Rover","LR3","premium unleaded (required)",300,"8","AUTOMATIC","four wheel drive",4,"Luxury","Midsize","4dr SUV",258,45975
2013,"Acura","ZDX","premium unleaded (recommended)",300,"6","AUTOMATIC","all wheel drive",4,"Crossover,Hatchback,Luxury","Midsize","4dr Hatchback",204,50920
2017,"Porsche","718 Cayman","premium unleaded (required)",300,"4","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",1715,53900
2010,"Infiniti","G37 Sedan","premium unleaded (recommended)",328,"6","AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",190,43350
2017,"BMW","3 Series","premium unleaded (recommended)",248,"4","AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",3916,38750
2013,"Toyota","Matrix","regular unleaded",132,"4","AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",2031,20115
2017,"Hyundai","Santa Fe","regular unleaded",290,"6","AUTOMATIC","all wheel drive",4,"Crossover","Midsize","4dr SUV",1439,36700
2017,"BMW","M6 Gran Coupe","premium unleaded (required)",560,"8","AUTOMATED_MANUAL","rear wheel drive",4,"Factory Tuner,Luxury,High-Performance","Large","Sedan",3916,117500
2014,"Mitsubishi","Lancer Sportback","regular unleaded",168,"4","AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",436,21945
2010,"Chevrolet","Cobalt","regular unleaded",155,"4","MANUAL","front wheel drive",4,"N/A","Compact","Sedan",1385,15670
2015,"Scion","iQ","regular unleaded",94,"4","AUTOMATIC","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",105,15665
2012,"Mitsubishi","Eclipse","regular unleaded",162,"4","MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",436,19499
2017,"Honda","Accord","regular unleaded",189,"4","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",2202,26215
2010,"Infiniti","G37 Coupe","premium unleaded (recommended)",330,"6","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Midsize","Coupe",190,37500
2016,"Chevrolet","Spark EV","electric",140,"0","DIRECT_DRIVE","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",1385,25510
2017,"Subaru","Outback","regular unleaded",175,"4","AUTOMATIC","all wheel drive",4,"Crossover","Midsize","4dr SUV",640,35995
1999,"Oldsmobile","LSS","regular unleaded",240,"6","AUTOMATIC","front wheel drive",4,"N/A","Large","Sedan",26,2681
2013,"Cadillac","Escalade EXT","flex-fuel (premium unleaded recommended/E85)",403,"8","AUTOMATIC","all wheel drive",4,"Crossover,Flex Fuel,Luxury,Performance","Large","Crew Cab Pickup",1624,69640
2009,"Bugatti","Veyron 16.4","premium unleaded (required)",1001,"16","AUTOMATED_MANUAL","all wheel drive",2,"Exotic,High-Performance","Compact","Coupe",820,1705769
2006,"Volkswagen","Phaeton","premium unleaded (required)",444,"12","AUTOMATIC","all wheel drive",4,"Luxury,Performance","Large","Sedan",873,101300
2010,"Volkswagen","New Beetle","regular unleaded",150,"5","MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",873,18690
2017,"Nissan","Murano","regular unleaded",260,"6","AUTOMATIC","front wheel drive",4,"Crossover","Midsize","4dr SUV",2009,29740
2016,"Mazda","MX-5 Miata","premium unleaded (recommended)",155,"4","MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",586,28600
2012,"Maybach","62","premium unleaded (required)",620,"12","AUTOMATIC","rear wheel drive",4,"Exotic,Luxury,Performance","Large","Sedan",67,470350
2017,"Cadillac","Escalade ESV","premium unleaded (recommended)",420,"8","AUTOMATIC","four wheel drive",4,"Luxury,Performance","Large","4dr SUV",1624,83995
2016,"Aston Martin","Rapide S","premium unleaded (required)",552,"12","AUTOMATIC","rear wheel drive",4,"Exotic,High-Performance","Large","Sedan",259,206000
2016,"Chevrolet","Colorado","regular unleaded",305,"6","AUTOMATIC","four wheel drive",4,"Diesel","Compact","Crew Cab Pickup",1385,30665
2000,"GMC","Yukon Denali","regular unleaded",255,"8","AUTOMATIC","four wheel drive",4,"Luxury","Large","4dr SUV",549,3949
2006,"Lexus","ES 330","regular unleaded",218,"6","AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",454,32300
1998,"Ford","E-150","regular unleaded",200,"6","AUTOMATIC","rear wheel drive",3,"N/A","Midsize","Passenger Van",5657,2301
2004,"Infiniti","I35","regular unleaded",255,"6","AUTOMATIC","front wheel drive",4,"Luxury,Performance","Midsize","Sedan",190,30600
2017,"Audi","S5","premium unleaded (required)",333,"6","MANUAL","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Midsize","Coupe",3105,53100
2013,"Cadillac","Escalade Hybrid","regular unleaded",332,"8","AUTOMATIC","rear wheel drive",4,"Luxury,Hybrid","Large","4dr SUV",1624,74425
2017,"Infiniti","QX60","premium unleaded (recommended)",295,"6","AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Large","4dr SUV",190,44900
2016,"Scion","iM","regular unleaded",137,"4","MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",105,18460
2002,"Rolls-Royce","Silver Seraph","premium unleaded (required)",322,"12","AUTOMATIC","rear wheel drive",4,"Exotic,Luxury","Large","Sedan",86,229990
1997,"Ford","Aerostar","regular unleaded",140,"6","AUTOMATIC","rear wheel drive",3,"N/A","Midsize","Cargo Minivan",5657,2000
2013,"Mazda","Mazdaspeed 3","premium unleaded (required)",263,"4","MANUAL","front wheel drive",4,"Hatchback,Factory Tuner,Performance","Compact","4dr Hatchback",586,24200
2000,"Ford","Contour","regular unleaded",170,"6","MANUAL","front wheel drive",4,"N/A","Midsize","Sedan",5657,2000
2016,"Hyundai","Veloster","regular unleaded",132,"4","AUTOMATED_MANUAL","front wheel drive",3,"Hatchback","Compact","2dr Hatchback",1439,19100
1999,"Mitsubishi","3000GT","regular unleaded",218,"6","MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",436,5306
2015,"Ferrari","FF","premium unleaded (required)",651,"12","AUTOMATED_MANUAL","all wheel drive",2,"Exotic,High-Performance","Large","Coupe",2774,295000
1994,"Hyundai","Excel","regular unleaded",81,"4","MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",1439,2000
2017,"Toyota","Camry","regular unleaded",178,"4","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",2031,23070
2001,"Kia","Sephia","regular unleaded",125,"4","MANUAL","front wheel drive",4,"N/A","Compact","Sedan",1720,10845
2015,"Land Rover","LR2","premium unleaded (recommended)",240,"4","AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Compact","4dr SUV",258,36600
2006,"Lincoln","LS","regular unleaded",280,"8","AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",61,39285
2007,"Suzuki","Aerio","regular unleaded",155,"4","MANUAL","front wheel drive",4,"N/A","Compact","Sedan",481,14299
2017,"Buick","Envision","flex-fuel (unleaded/E85)",197,"4","AUTOMATIC","all wheel drive",4,"Crossover,Flex Fuel","Midsize","4dr SUV",155,39570
2016,"Honda","Odyssey","regular unleaded",248,"6","AUTOMATIC","front wheel drive",4,"N/A","Large","Passenger Minivan",2202,37650
2014,"Acura","TSX","premium unleaded (recommended)",201,"4","MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",204,31635
2009,"Mazda","B-Series Truck","regular unleaded",143,"4","MANUAL","rear wheel drive",2,"N/A","Compact","Regular Cab Pickup",586,16060
2001,"Acura","Integra","premium unleaded (required)",170,"4","MANUAL","front wheel drive",4,"Luxury,Performance","Compact","Sedan",204,22600
2017,"GMC","Terrain","regular unleaded",182,"4","AUTOMATIC","all wheel drive",4,"Crossover","Compact","4dr SUV",549,29050
2011,"Saab","5-Sep","premium unleaded (recommended)",220,"4","MANUAL","front wheel drive",4,"Luxury","Large","Sedan",376,38525
1992,"Toyota","Cressida","regular unleaded",190,"6","AUTOMATIC","rear wheel drive",4,"N/A","Midsize","Sedan",2031,2000
2017,"Nissan","Armada","regular unleaded",390,"8","AUTOMATIC","rear wheel drive",4,"N/A","Large","4dr SUV",2009,49650
2017,"Volkswagen","Touareg","premium unleaded (recommended)",280,"6","AUTOMATIC","all wheel drive",4,"Crossover","Midsize","4dr SUV",873,49495
2002,"Mazda","Millenia","regular unleaded",170,"6","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",586,28075
2017,"Cadillac","ATS-V","premium unleaded (recommended)",464,"6","MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",1624,62895
2017,"Chevrolet","Spark","regular unleaded",98,"4","MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",1385,16325
2013,"McLaren","MP4-12C","premium unleaded (required)",616,"8","AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Coupe",416,239400
2017,"GMC","Acadia","regular unleaded",194,"4","AUTOMATIC","front wheel drive",4,"Crossover","Midsize","4dr SUV",549,38350
1998,"Suzuki","Sidekick","regular unleaded",95,"4","MANUAL","four wheel drive",2,"N/A","Compact","Convertible SUV",481,2000
2017,"Volvo","S60","regular unleaded",240,"4","AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",870,33950
2003,"Dodge","Ram Cargo","regular unleaded",175,"6","AUTOMATIC","rear wheel drive",3,"N/A","Large","Cargo Van",1851,22190
2011,"Honda","Accord Crosstour","regular unleaded",271,"6","AUTOMATIC","front wheel drive",4,"Crossover,Hatchback","Midsize","4dr Hatchback",2202,29990
2016,"Infiniti","QX80","premium unleaded (recommended)",400,"8","AUTOMATIC","four wheel drive",4,"Luxury","Large","4dr SUV",190,66350
2013,"Volvo","C30","regular unleaded",227,"5","MANUAL","front wheel drive",2,"Hatchback,Luxury","Compact","2dr Hatchback",870,25500
2014,"Cadillac","CTS Wagon","regular unleaded",318,"6","AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Wagon",1624,49795
1997,"Land Rover","Defender","regular unleaded",182,"8","AUTOMATIC","four wheel drive",2,"Luxury","Compact","Convertible SUV",258,36931
2017,"Hyundai","Santa Fe Sport","regular unleaded",265,"4","AUTOMATIC","all wheel drive",4,"Crossover","Midsize","4dr SUV",1439,33450
2017,"Ford","Fusion Hybrid","regular unleaded",188,"4","AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",5657,37020
2005,"Dodge","Neon","regular unleaded",132,"4","MANUAL","front wheel drive",4,"N/A","Compact","Sedan",1851,16110
2015,"Mitsubishi","Lancer Evolution","premium unleaded (required)",303,"4","MANUAL","all wheel drive",4,"Factory Tuner,High-Performance","Compact","Sedan",436,37995
2017,"Honda","Fit","regular unleaded",130,"4","AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",2202,20265
2014,"Cadillac","CTS Coupe","regular unleaded",318,"6","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Midsize","Coupe",1624,39495
1998,"Oldsmobile","Regency","regular unleaded",205,"6","AUTOMATIC","front wheel drive",4,"N/A","Large","Sedan",26,2084
1997,"Honda","Civic del Sol","regular unleaded",160,"4","MANUAL","front wheel drive",2,"Factory Tuner,Performance","Compact","Coupe",2202,2410
2003,"Oldsmobile","Aurora","premium unleaded (required)",250,"8","AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",26,34725
2001,"Hyundai","XG300","regular unleaded",192,"6","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",1439,24999
2017,"Dodge","Viper","premium unleaded (required)",645,"10","MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Coupe",1851,95895
2010,"Bentley","Azure T","premium unleaded (required)",500,"8","AUTOMATIC","rear wheel drive",2,"Exotic,Luxury,High-Performance","Large","Convertible",520,363000
1992,"Volvo","740","regular unleaded",162,"4","AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Wagon",870,2000
1995,"Dodge","Spirit","regular unleaded",100,"4","AUTOMATIC","front wheel drive",4,"N/A","Compact","Sedan",1851,2000
2010,"Chevrolet","Malibu Hybrid","regular unleaded",164,"4","AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",1385,25925
2016,"Chevrolet","Cruze Limited","regular unleaded",138,"4","MANUAL","front wheel drive",4,"N/A","Midsize","Sedan",1385,20195
1998,"Nissan","200SX","regular unleaded",115,"4","MANUAL","front wheel drive",2,"N/A","Compact","Coupe",2009,2000
2000,"Ford","Contour SVT","regular unleaded",200,"6","MANUAL","front wheel drive",4,"Factory Tuner,Performance","Midsize","Sedan",5657,2937
2016,"Scion","tC","regular unleaded",179,"4","MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",105,19385
2017,"Cadillac","CTS-V","premium unleaded (required)",640,"8","AUTOMATIC","rear wheel drive",4,"Factory Tuner,Luxury,High-Performance","Large","Sedan",1624,85995
2013,"Infiniti","FX","premium unleaded (required)",325,"6","AUTOMATIC","all wheel drive",4,"Crossover,Luxury,Performance","Midsize","4dr SUV",190,53400
2017,"Honda","HR-V","regular unleaded",141,"4","AUTOMATIC","front wheel drive",4,"Crossover","Compact","4dr SUV",2202,22215
2013,"Infiniti","M","premium unleaded (required)",420,"8","AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Large","Sedan",190,61200
2017,"Mercedes-Benz","CLS-Class","premium unleaded (required)",402,"8","AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",617,74850
2017,"Lincoln","MKZ","regular unleaded",240,"4","AUTOMATIC","front wheel drive",4,"Luxury,Hybrid","Midsize","Sedan",61,35010
2010,"Infiniti","G37 Convertible","premium unleaded (required)",325,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Midsize","Convertible",190,46950
2002,"Volkswagen","Cabrio","regular unleaded",115,"4","AUTOMATIC","front wheel drive",2,"N/A","Compact","Convertible",873,21475
2017,"FIAT","124 Spider","premium unleaded (recommended)",160,"4","MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",819,27495
2017,"Cadillac","ATS Coupe","premium unleaded (recommended)",272,"4","AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",1624,43395
2008,"Suzuki","Forenza","regular unleaded",127,"4","AUTOMATIC","front wheel drive",4,"N/A","Compact","Sedan",481,15589
1993,"Dodge","Daytona","regular unleaded",100,"4","MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",1851,2000
1992,"Oldsmobile","Toronado","regular unleaded",170,"6","AUTOMATIC","front wheel drive",2,"N/A","Large","Coupe",26,2000
2017,"Infiniti","QX70","premium unleaded (required)",325,"6","AUTOMATIC","rear wheel drive",4,"Crossover,Luxury,Performance","Midsize","4dr SUV",190,45850
2012,"Mitsubishi","Galant","regular unleaded",160,"4","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",436,21899
2015,"Aston Martin","DB9","premium unleaded (required)",510,"12","AUTOMATIC","rear wheel drive",2,"Exotic,High-Performance","Midsize","Coupe",259,198295
2009,"Kia","Amanti","regular unleaded",264,"6","AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",1720,26045
2003,"Lexus","RX 300","regular unleaded",220,"6","AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",454,36925
2017,"Honda","Pilot","regular unleaded",280,"6","AUTOMATIC","all wheel drive",4,"Crossover","Midsize","4dr SUV",2202,39255
2016,"Toyota","Highlander","regular unleaded",270,"6","AUTOMATIC","front wheel drive",4,"Crossover","Midsize","4dr SUV",2031,34395
2008,"Suzuki","Reno","regular unleaded",127,"4","MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",481,13839
1993,"Dodge","Ram 50 Pickup","regular unleaded",116,"4","MANUAL","rear wheel drive",2,"N/A","Compact","Regular Cab Pickup",1851,2000
2004,"Land Rover","Discovery","premium unleaded (required)",217,"8","AUTOMATIC","four wheel drive",4,"Luxury","Midsize","4dr SUV",258,38685
