"year","make","model","engine.fuel.type","engine.hp","engine.cylinders","transmission.type","driven_wheels","number.of.doors","market.category","vehicle.size","vehicle.style","highway.mpg","popularity","msrp"
2017,"Toyota","Camry Hybrid","regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",38,2031,26790
2017,"Buick","Cascada","premium unleaded (recommended)",200,4,"AUTOMATIC","front wheel drive",2,"N/A","Midsize","Convertible",27,155,36065
2017,"Porsche","Cayenne","premium unleaded (required)",520,8,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury,Performance","Midsize","4dr SUV",21,1715,116500
2017,"Volkswagen","CC","premium unleaded (recommended)",200,4,"AUTOMATED_MANUAL","front wheel drive",4,"Performance","Midsize","Sedan",31,873,37820
2017,"Dodge","Challenger","regular unleaded",375,8,"MANUAL","rear wheel drive",2,"High-Performance","Large","Coupe",23,1851,35890
2017,"Dodge","Charger","regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"N/A","Large","Sedan",30,1851,27995
2017,"Chevrolet","City Express","regular unleaded",131,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Cargo Minivan",26,1385,22405
2017,"Honda","Civic","regular unleaded",174,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",39,2202,19700
2017,"Mercedes-Benz","CLA-Class","premium unleaded (required)",208,4,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",38,617,32400
2017,"Lincoln","Continental","regular unleaded",305,6,"AUTOMATIC","front wheel drive",4,"Luxury","Large","Sedan",26,61,44560
2017,"Toyota","Corolla iM","regular unleaded",137,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,2031,18750
2017,"Toyota","Corolla","regular unleaded",132,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Sedan",35,2031,22680
2017,"Chevrolet","Corvette","premium unleaded (required)",650,8,"MANUAL","rear wheel drive",2,"Factory Tuner,High-Performance","Compact","Convertible",22,1385,87015
2017,"Subaru","Crosstrek","regular unleaded",148,4,"MANUAL","all wheel drive",4,"Crossover","Compact","4dr SUV",30,640,22495
2017,"Chevrolet","Cruze","regular unleaded",153,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",38,1385,21920
2017,"Lexus","CT 200h","regular unleaded",134,4,"AUTOMATIC","front wheel drive",4,"Hatchback,Luxury,Hybrid","Compact","4dr Hatchback",40,454,31250
2017,"Cadillac","CT6","premium unleaded (required)",404,6,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Large","Sedan",26,1624,64395
2017,"Cadillac","CTS","regular unleaded",335,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Large","Sedan",27,1624,61195
2017,"Mazda","CX-3","regular unleaded",146,4,"AUTOMATIC","front wheel drive",4,"Crossover","Compact","4dr SUV",34,586,24990
2017,"Land Rover","Discovery Sport","premium unleaded (recommended)",240,4,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",25,258,46595
2017,"Dodge","Durango","regular unleaded",295,6,"AUTOMATIC","rear wheel drive",4,"Crossover,Performance","Large","4dr SUV",26,1851,37495
2017,"Mercedes-Benz","E-Class","premium unleaded (required)",329,6,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Midsize","Convertible",29,617,62600
2017,"Ford","Edge","premium unleaded (recommended)",245,4,"AUTOMATIC","front wheel drive",4,"Crossover","Midsize","4dr SUV",29,5657,28950
2017,"Hyundai","Elantra GT","regular unleaded",173,4,"MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",32,1439,18800
2017,"Hyundai","Elantra","regular unleaded",147,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Sedan",38,1439,18150
2017,"Buick","Enclave","regular unleaded",288,6,"AUTOMATIC","front wheel drive",4,"Crossover","Midsize","4dr SUV",22,155,39065
2017,"Buick","Encore","regular unleaded",138,4,"AUTOMATIC","all wheel drive",4,"Crossover","Compact","4dr SUV",30,155,31965
2017,"Chevrolet","Equinox","regular unleaded",182,4,"AUTOMATIC","front wheel drive",4,"Crossover","Compact","4dr SUV",32,1385,25510
2017,"Lexus","ES 300h","regular unleaded",200,4,"AUTOMATIC","front wheel drive",4,"Luxury,Hybrid","Midsize","Sedan",39,454,41820
2017,"Lexus","ES 350","regular unleaded",268,6,"AUTOMATIC","front wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,454,38900
2017,"Cadillac","Escalade","premium unleaded (recommended)",420,8,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Large","4dr SUV",22,1624,92195
2017,"Ford","Escape","regular unleaded",168,4,"AUTOMATIC","front wheel drive",4,"Crossover","Compact","4dr SUV",29,5657,23600
2017,"Lotus","Evora 400","premium unleaded (required)",400,6,"MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Coupe",39,613,91900
2017,"Ford","Expedition","regular unleaded",365,6,"AUTOMATIC","rear wheel drive",4,"N/A","Large","4dr SUV",20,5657,58021
2017,"Ford","Explorer","regular unleaded",365,6,"AUTOMATIC","all wheel drive",4,"Crossover,Performance","Midsize","4dr SUV",22,5657,53235
2017,"Ford","F-150","regular unleaded",325,6,"AUTOMATIC","rear wheel drive",4,"Flex Fuel","Large","Extended Cab Pickup",26,5657,31710
2017,"Ford","Fiesta","regular unleaded",120,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,5657,15660
2017,"Ford","Focus RS","premium unleaded (recommended)",350,4,"MANUAL","all wheel drive",4,"Hatchback,Factory Tuner,High-Performance","Compact","4dr Hatchback",25,5657,36120
2017,"Ford","Focus ST","premium unleaded (recommended)",252,4,"MANUAL","front wheel drive",4,"Hatchback,Factory Tuner,Performance","Compact","4dr Hatchback",31,5657,24775
2017,"Ford","Focus","flex-fuel (unleaded/E85)",160,4,"AUTOMATED_MANUAL","front wheel drive",4,"Hatchback,Flex Fuel","Compact","4dr Hatchback",40,5657,21675
2017,"Subaru","Forester","premium unleaded (required)",250,4,"AUTOMATIC","all wheel drive",4,"Crossover","Midsize","4dr SUV",27,640,34295
2017,"Kia","Forte","regular unleaded",147,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Sedan",38,1720,17500
2017,"Nissan","Frontier","regular unleaded",261,6,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Crew Cab Pickup",23,2009,25750
2017,"Ford","Fusion","regular unleaded",231,4,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",31,5657,30610
2017,"Genesis","G80","regular unleaded",311,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Large","Sedan",28,21,41400
2017,"Maserati","Ghibli","premium unleaded (required)",404,6,"AUTOMATIC","rear wheel drive",4,"Exotic,Luxury,High-Performance","Midsize","Sedan",24,238,77200
2017,"Mercedes-Benz","GLA-Class","premium unleaded (required)",375,4,"AUTOMATIC","all wheel drive",4,"Crossover,Factory Tuner,Luxury,High-Performance","Compact","4dr SUV",28,617,49900
2017,"Mercedes-Benz","GLE-Class Coupe","premium unleaded (required)",362,6,"AUTOMATIC","all wheel drive",4,"Crossover,Factory Tuner,Luxury,Performance","Midsize","4dr SUV",23,617,69650
2017,"Mercedes-Benz","GLE-Class","premium unleaded (required)",577,8,"AUTOMATIC","all wheel drive",4,"Crossover,Factory Tuner,Luxury,High-Performance","Midsize","4dr SUV",17,617,108840
2017,"Volkswagen","Golf Alltrack","regular unleaded",170,4,"AUTOMATED_MANUAL","all wheel drive",4,"Crossover","Compact","Wagon",30,873,26950
2017,"Volkswagen","Golf GTI","premium unleaded (recommended)",220,4,"AUTOMATED_MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","4dr Hatchback",32,873,35195
2017,"Volkswagen","Golf R","premium unleaded (recommended)",292,4,"AUTOMATED_MANUAL","all wheel drive",4,"Hatchback,Factory Tuner,High-Performance","Compact","4dr Hatchback",30,873,36755
2017,"Volkswagen","Golf SportWagen","regular unleaded",170,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Wagon",34,873,22680
2017,"Volkswagen","Golf","regular unleaded",170,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,873,20995
2017,"Lexus","GS 200t","premium unleaded (required)",241,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",32,454,46310
2017,"Lexus","GS 350","premium unleaded (required)",311,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",28,454,50695
2017,"Nissan","GT-R","premium unleaded (required)",565,6,"AUTOMATED_MANUAL","all wheel drive",2,"High-Performance","Midsize","Coupe",22,2009,109990
2017,"Lexus","GX 460","premium unleaded (required)",301,8,"AUTOMATIC","four wheel drive",4,"Luxury","Midsize","4dr SUV",18,454,51280
2017,"Mitsubishi","i-MiEV","electric",66,0,"DIRECT_DRIVE","rear wheel drive",4,"Hatchback","Compact","4dr Hatchback",102,436,22995
2017,"BMW","i3","electric",170,0,"DIRECT_DRIVE","rear wheel drive",4,"Hatchback,Luxury","Compact","4dr Hatchback",111,3916,42400
2017,"Acura","ILX","premium unleaded (recommended)",201,4,"AUTOMATED_MANUAL","front wheel drive",4,"Luxury","Compact","Sedan",35,204,32990
2017,"Chevrolet","Impala","flex-fuel (unleaded/E85)",305,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Large","Sedan",28,1385,35645
2017,"Subaru","Impreza","regular unleaded",152,4,"MANUAL","all wheel drive",4,"N/A","Midsize","Sedan",38,640,18395
2017,"Lexus","IS 200t","premium unleaded (required)",241,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",32,454,37825
2017,"Lexus","IS 300","premium unleaded (required)",255,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",26,454,40200
2017,"Volkswagen","Jetta","premium unleaded (recommended)",210,4,"AUTOMATED_MANUAL","front wheel drive",4,"Factory Tuner,Performance","Midsize","Sedan",33,873,28995
2017,"Dodge","Journey","regular unleaded",173,4,"AUTOMATIC","front wheel drive",4,"Crossover","Midsize","4dr SUV",25,1851,20995
2017,"Buick","LaCrosse","regular unleaded",310,6,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",31,155,36065
2017,"Mitsubishi","Lancer","regular unleaded",168,4,"AUTOMATIC","all wheel drive",4,"N/A","Compact","Sedan",30,436,20295
2017,"Toyota","Land Cruiser","regular unleaded",381,8,"AUTOMATIC","four wheel drive",4,"Luxury","Midsize","4dr SUV",18,2031,84325
2017,"Subaru","Legacy","regular unleaded",256,6,"AUTOMATIC","all wheel drive",4,"Performance","Midsize","Sedan",28,640,31640
2017,"Maserati","Levante","premium unleaded (required)",424,6,"AUTOMATIC","all wheel drive",4,"Crossover,Exotic,Luxury,High-Performance","Large","4dr SUV",19,238,83000
2017,"Lexus","LS 460","premium unleaded (required)",359,8,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Large","Sedan",23,454,82305
2017,"Lexus","LX 570","premium unleaded (recommended)",383,8,"AUTOMATIC","four wheel drive",4,"Luxury","Large","4dr SUV",18,454,89380
2017,"BMW","M2","premium unleaded (required)",365,6,"MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",26,3916,51700
2017,"BMW","M3","premium unleaded (required)",425,6,"MANUAL","rear wheel drive",4,"Factory Tuner,Luxury,High-Performance","Midsize","Sedan",26,3916,64000
2017,"BMW","M4","premium unleaded (required)",425,6,"MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Midsize","Convertible",26,3916,74700
2017,"BMW","M6","premium unleaded (required)",560,8,"AUTOMATED_MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Midsize","Coupe",20,3916,113700
2017,"Porsche","Macan","premium unleaded (required)",360,6,"AUTOMATED_MANUAL","all wheel drive",4,"Crossover,Luxury,High-Performance","Midsize","4dr SUV",23,1715,67200
2017,"Chevrolet","Malibu","regular unleaded",160,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",36,1385,25125
2017,"Nissan","Maxima","premium unleaded (recommended)",300,6,"AUTOMATIC","front wheel drive",4,"High-Performance","Midsize","Sedan",30,2009,34590
2017,"Mercedes-Benz","Maybach","premium unleaded (required)",523,12,"AUTOMATIC","rear wheel drive",4,"Exotic,Luxury,High-Performance","Large","Sedan",21,617,191300
2017,"Mitsubishi","Mirage G4","regular unleaded",78,3,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",40,436,13995
2017,"Mitsubishi","Mirage","regular unleaded",78,3,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",41,436,14795
2017,"Lincoln","MKT","regular unleaded",303,6,"AUTOMATIC","front wheel drive",4,"Crossover,Luxury","Large","Wagon",24,61,43530
2017,"Lincoln","MKX","regular unleaded",303,6,"AUTOMATIC","front wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",25,61,38260
2017,"Ford","Mustang","premium unleaded (recommended)",310,4,"MANUAL","rear wheel drive",2,"Performance","Midsize","Coupe",30,5657,25645
2017,"Lincoln","Navigator","regular unleaded",380,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Large","4dr SUV",20,61,65560
2017,"Acura","NSX","premium unleaded (required)",573,6,"AUTOMATED_MANUAL","all wheel drive",2,"Exotic,Luxury,High-Performance,Hybrid","Compact","Coupe",22,204,156000
2017,"Lexus","NX 200t","premium unleaded (required)",235,4,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",27,454,38585
2017,"Lexus","NX 300h","regular unleaded",194,4,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury,Hybrid","Midsize","4dr SUV",30,454,39720
2017,"Kia","Optima Hybrid","regular unleaded",192,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",46,1720,25995
2017,"Mitsubishi","Outlander Sport","regular unleaded",168,4,"AUTOMATIC","four wheel drive",4,"Crossover","Compact","4dr SUV",27,436,24195
2017,"Mitsubishi","Outlander","premium unleaded (recommended)",224,6,"AUTOMATIC","all wheel drive",4,"Crossover","Midsize","4dr SUV",27,436,31695
2017,"Volkswagen","Passat","premium unleaded (required)",280,6,"AUTOMATED_MANUAL","front wheel drive",4,"Performance","Midsize","Sedan",28,873,29295
2017,"Nissan","Pathfinder","regular unleaded",284,6,"AUTOMATIC","four wheel drive",4,"Crossover","Large","4dr SUV",26,2009,37790
2017,"Toyota","Prius Prime","regular unleaded",121,4,"AUTOMATIC","front wheel drive",4,"Hatchback,Hybrid","Compact","4dr Hatchback",53,2031,27100
2017,"Toyota","Prius v","regular unleaded",134,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Wagon",39,2031,26675
2017,"Toyota","Prius","regular unleaded",121,4,"AUTOMATIC","front wheel drive",4,"Hatchback,Hybrid","Compact","4dr Hatchback",50,2031,28115
2017,"Infiniti","Q50","premium unleaded (required)",208,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",31,190,33950
2017,"Audi","Q5","premium unleaded (required)",272,6,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",26,3105,53200
2017,"Infiniti","Q60 Coupe","premium unleaded (recommended)",400,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Midsize","Coupe",26,190,53300
2017,"Infiniti","QX50","premium unleaded (recommended)",325,6,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury,Performance","Midsize","4dr SUV",24,190,36250
2017,"Audi","R8","premium unleaded (required)",540,10,"AUTOMATED_MANUAL","all wheel drive",2,"Luxury,High-Performance","Compact","Coupe",22,3105,162900
2017,"Land Rover","Range Rover Evoque","premium unleaded (recommended)",240,4,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Compact","4dr SUV",29,258,51000
2017,"Toyota","RAV4 Hybrid","regular unleaded",194,4,"AUTOMATIC","all wheel drive",4,"Crossover,Hybrid","Midsize","4dr SUV",30,2031,34030
2017,"Toyota","RAV4","regular unleaded",176,4,"AUTOMATIC","front wheel drive",4,"Crossover","Midsize","4dr SUV",29,2031,31830
2017,"Lexus","RC 300","premium unleaded (required)",255,6,"AUTOMATIC","all wheel drive",2,"Luxury","Midsize","Coupe",26,454,42770
2017,"Lexus","RC F","premium unleaded (required)",467,8,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Midsize","Coupe",25,454,64165
2017,"Acura","RDX","premium unleaded (recommended)",279,6,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",27,204,38370
2017,"Buick","Regal","premium unleaded (recommended)",259,4,"AUTOMATIC","front wheel drive",4,"Performance","Midsize","Sedan",29,155,31615
2017,"Honda","Ridgeline","regular unleaded",280,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Crew Cab Pickup",25,2202,37730
2017,"Acura","RLX","premium unleaded (recommended)",310,6,"AUTOMATIC","front wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,204,54450
2017,"Nissan","Rogue","regular unleaded",170,4,"AUTOMATIC","front wheel drive",4,"Crossover","Midsize","4dr SUV",33,2009,23820
2017,"Lexus","RX 350","regular unleaded",295,6,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",26,454,50320
2017,"Lexus","RX 450h","premium unleaded (recommended)",308,6,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury,Hybrid","Midsize","4dr SUV",28,454,53035
2017,"Mercedes-Benz","S-Class","premium unleaded (required)",577,8,"AUTOMATIC","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Large","Sedan",23,617,144700
2017,"Audi","S3","premium unleaded (required)",292,4,"AUTOMATED_MANUAL","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Compact","Sedan",28,3105,48400
2017,"Volvo","S60 Cross Country","regular unleaded",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",30,870,44200
2017,"Audi","S6","premium unleaded (required)",450,8,"AUTOMATED_MANUAL","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Midsize","Sedan",27,3105,74100
2017,"Audi","S7","premium unleaded (required)",450,8,"AUTOMATED_MANUAL","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Large","Sedan",27,3105,82900
2017,"Audi","S8","premium unleaded (recommended)",605,8,"AUTOMATIC","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Large","Sedan",24,3105,115900
2017,"Volvo","S90","premium unleaded (recommended)",250,4,"AUTOMATIC","front wheel drive",4,"Luxury","Large","Sedan",34,870,46950
2017,"Kia","Sedona","regular unleaded",276,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Passenger Minivan",22,1720,41900
2017,"Nissan","Sentra","regular unleaded",124,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",37,2009,21500
2017,"Toyota","Sequoia","regular unleaded",381,8,"AUTOMATIC","four wheel drive",4,"N/A","Large","4dr SUV",17,2031,48685
2017,"Ford","Shelby GT350","premium unleaded (recommended)",526,8,"MANUAL","rear wheel drive",2,"Factory Tuner,High-Performance","Midsize","Coupe",21,5657,61795
2017,"Toyota","Sienna","regular unleaded",296,6,"AUTOMATIC","front wheel drive",4,"N/A","Large","Passenger Minivan",27,2031,29750
2017,"GMC","Sierra 1500","regular unleaded",355,8,"AUTOMATIC","rear wheel drive",4,"N/A","Large","Crew Cab Pickup",23,549,44840
2017,"Chevrolet","Silverado 1500","flex-fuel (unleaded/E85)",285,6,"AUTOMATIC","rear wheel drive",4,"Flex Fuel","Large","Crew Cab Pickup",24,1385,36035
2017,"Mercedes-Benz","SL-Class","premium unleaded (required)",449,8,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Compact","Convertible",25,617,110800
2017,"Mercedes-Benz","SLC-Class","premium unleaded (required)",362,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",29,617,60300
2017,"Hyundai","Sonata Hybrid","regular unleaded",193,4,"AUTOMATIC","front wheel drive",4,"Hybrid","Midsize","Sedan",45,1439,26000
2017,"Hyundai","Sonata","regular unleaded",185,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",36,1439,21600
2017,"Chevrolet","Sonic","regular unleaded",138,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Sedan",34,1385,18170
2017,"Kia","Sorento","regular unleaded",185,4,"AUTOMATIC","all wheel drive",4,"Crossover","Midsize","4dr SUV",25,1720,28500
2017,"Kia","Sportage","regular unleaded",181,4,"AUTOMATIC","all wheel drive",4,"Crossover","Compact","4dr SUV",25,1720,27000
2017,"Audi","SQ5","premium unleaded (required)",354,6,"AUTOMATIC","all wheel drive",4,"Crossover,Factory Tuner,Luxury,Performance","Midsize","4dr SUV",24,3105,60800
2017,"Chevrolet","Suburban","flex-fuel (unleaded/E85)",355,8,"AUTOMATIC","four wheel drive",4,"Flex Fuel,Performance","Large","4dr SUV",22,1385,58045
2017,"Toyota","Tacoma","regular unleaded",278,6,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Crew Cab Pickup",23,2031,35315
2017,"Ford","Taurus","flex-fuel (unleaded/E85)",288,6,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Large","Sedan",27,5657,36855
2017,"Volkswagen","Tiguan","premium unleaded (recommended)",200,4,"AUTOMATIC","front wheel drive",4,"Crossover","Compact","4dr SUV",24,873,30095
2017,"Nissan","Titan","regular unleaded",390,8,"AUTOMATIC","rear wheel drive",4,"N/A","Large","Crew Cab Pickup",21,2009,37670
2017,"Acura","TLX","premium unleaded (recommended)",290,6,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",34,204,42600
